Timestamp,Node,N,NPerNode,Time_sec,Memory_kB
2026-01-23T17:02:11-05:00,c18-30,131328,24,   00:00:55    0.02      0.92      55.09 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139569848 kB
2026-01-23T17:02:19-05:00,c18-36,131328,12,   00:01:35    0.03      1.58      94.52 % HH:MM:SS=hours=minutes=seconds,Overall usage:         137026416 kB
2026-01-23T17:03:44-05:00,c18-36,131328,24,   00:00:57    0.02      0.95      57.27 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139665172 kB
2026-01-23T17:08:49-05:00,c18-38,131328,12,   00:01:54    0.03      1.90     114.18 % HH:MM:SS=hours=minutes=seconds,Overall usage:         137041992 kB
2026-01-23T17:09:50-05:00,c18-38,131328,24,   00:00:54    0.02      0.91      54.36 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139409016 kB
2026-01-23T17:13:21-05:00,c18-31,131328,12,   00:01:49    0.03      1.82     109.08 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136738056 kB
2026-01-23T17:14:28-05:00,c18-31,131328,24,   00:00:57    0.02      0.95      57.19 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139682700 kB
2026-01-23T17:21:45-05:00,c18-29,131328,12,   00:01:47    0.03      1.78     106.92 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136801620 kB
2026-01-23T17:22:48-05:00,c18-29,131328,24,   00:00:54    0.02      0.91      54.30 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139403992 kB
2026-01-23T19:18:25-05:00,c24-36,131328,24,   00:00:28    0.01      0.47      27.95 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139195928 kB
2026-01-23T19:18:25-05:00,c24-40,131328,24,   00:00:28    0.01      0.47      28.09 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139192856 kB
2026-01-23T19:18:25-05:00,c24-35,131328,24,   00:00:28    0.01      0.47      28.16 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139230668 kB
2026-01-23T19:18:25-05:00,c24-39,131328,24,   00:00:28    0.01      0.47      27.97 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139192668 kB
2026-01-23T19:18:25-05:00,c24-37,131328,24,   00:00:29    0.01      0.48      28.59 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139207068 kB
2026-01-23T19:18:26-05:00,c24-38,131328,24,   00:00:28    0.01      0.47      28.18 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139208240 kB
2026-01-23T19:18:27-05:00,c24-34,131328,24,   00:00:28    0.01      0.47      28.22 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139203220 kB
2026-01-23T19:18:49-05:00,c24-36,131328,36,   00:00:19    0.01      0.32      19.15 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141475428 kB
2026-01-23T19:18:49-05:00,c24-40,131328,12,   00:00:51    0.01      0.85      50.75 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136960804 kB
2026-01-23T19:18:49-05:00,c24-40,131328,36,   00:00:19    0.01      0.32      19.08 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141473340 kB
2026-01-23T19:18:49-05:00,c24-39,131328,36,   00:00:19    0.01      0.32      19.05 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141458552 kB
2026-01-23T19:18:49-05:00,c24-35,131328,12,   00:00:51    0.01      0.85      50.88 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136944456 kB
2026-01-23T19:18:49-05:00,c24-35,131328,36,   00:00:19    0.01      0.32      19.04 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141467848 kB
2026-01-23T19:18:49-05:00,c24-36,131328,12,   00:00:51    0.01      0.85      50.92 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136946524 kB
2026-01-23T19:18:50-05:00,c24-37,131328,36,   00:00:19    0.01      0.32      19.17 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141501116 kB
2026-01-23T19:18:50-05:00,c24-39,131328,12,   00:00:51    0.01      0.84      50.65 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136951440 kB
2026-01-23T19:18:50-05:00,c24-37,131328,12,   00:00:51    0.01      0.85      51.03 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136956144 kB
2026-01-23T19:18:51-05:00,c24-38,131328,12,   00:00:51    0.01      0.85      50.98 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136952448 kB
